r;324603204;147003;12677591;200;1
r;324614307;147003;12677825;200;12
r;324623359;147003;12678008;200;1
r;324658674;147003;12678913;200;1
r;324687824;147003;12679683;200;4
r;324688687;147003;12679694;200;4
r;324693578;147003;12679824;200;1
r;324695395;147003;12679860;200;1
r;324719517;147003;12680467;200;2
r;324720631;147003;12680477;200;2
r;324727506;147003;12680567;200;1
r;324751801;147003;12681181;200;1
r;324755081;147003;12681272;200;6
r;324832472;147003;12683124;200;1
r;324842418;147003;12683380;200;2
r;324854150;147003;12683687;200;3
r;324854204;147003;12683688;200;3
r;324877314;147003;12684273;200;4
r;324879079;147003;12684314;200;1
r;324879891;147003;12684366;200;2
r;324885204;147003;12684473;200;1
r;324885326;147003;12684477;200;1
r;324900297;147003;12684901;200;1
r;324901107;147003;12684939;200;1
r;324909446;147003;12685165;200;2
r;324965023;147003;12686960;200;1
r;325001387;147003;12688021;200;1
r;325050514;147003;12688964;200;2
r;325119820;147003;12690231;200;1
r;325131191;147003;12690510;200;15
r;325131470;147003;12690518;200;5
r;325134913;147003;12690621;200;1
r;325152264;147003;12690988;200;9
r;325155997;147003;12691081;200;3
r;325156099;147003;12691082;200;3
r;325180823;147003;12691589;200;7
r;325224022;147003;12692552;200;1
r;325256318;147003;12693183;200;1
r;325275330;147003;12693698;200;2
r;325288346;147003;12694086;200;3
r;325300172;147003;12694261;200;1
r;325300560;147003;12694266;200;1
r;325300727;147003;12694269;200;1
r;325307434;147003;12694417;200;1
r;325406943;147003;12696780;200;1
r;325476790;147003;12698480;200;1
r;325522950;147003;12699466;200;2
r;325550938;147003;12700044;200;7
r;325561990;147003;12700230;200;6
r;325695913;147003;12701331;200;1
r;325705887;147003;12701580;200;1
r;325718888;147003;12701828;200;2
r;325793251;147003;12702156;200;7
r;325911103;147003;12708628;200;5
r;325916211;147003;12708748;200;1
r;325916344;147003;12708751;200;1
r;325951396;147003;12709290;200;1
r;326011665;147003;12710372;200;3
r;326012352;147003;12710387;200;4
r;326012906;147003;12710397;200;3
r;326040716;147003;12710870;200;2
r;326049158;147003;12711046;200;1
r;326140697;147003;12713095;200;6
r;326154325;147003;12713408;200;1
r;326154407;147003;12713410;200;1
r;326164388;147003;12713640;200;1
r;326187586;147003;12714137;200;1
r;326191784;147003;12714226;200;2
r;326192244;147003;12714234;200;2
r;326249053;147003;12715329;200;2
r;326258997;147003;12715559;200;3
r;326298737;147003;12716409;200;3
r;326302162;147003;12716475;200;6
r;326314317;147003;12716706;200;1
r;326317096;147003;12716763;200;2
r;326323709;147003;12716864;200;2
r;326426824;147003;12718531;200;1
r;326428690;147003;12718565;200;1
r;326442122;147003;12718935;200;1
r;326447724;147003;12719070;200;2
r;326489236;147003;12719890;200;1
r;326517230;147003;12720410;200;2
r;326543333;147003;12721022;200;3
r;326549214;147003;12721144;200;2
r;326582347;147003;12721822;200;1
r;326591861;147003;12722009;200;1
r;326592210;147003;12722012;200;1
r;326594574;147003;12722050;200;3
r;326677960;147003;12723905;200;1
r;326716472;147003;12724695;200;1
r;326737940;147003;12725164;200;1
r;326753458;147003;12725642;200;3
r;326753693;147003;12725647;200;3
r;326772096;147003;12726146;200;1
r;326773814;147003;12726194;200;2
r;326774980;147003;12726232;200;13
r;326810207;147003;12727053;200;1
r;326921085;147003;12729891;200;4
r;326933814;147003;12730201;200;2
r;326979028;147003;12731155;200;3
